,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
208,2022-01-08,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
196,2022-01-08,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
197,2022-01-08,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
209,2022-01-08,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
199,2022-01-08,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
200,2022-01-08,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
198,2022-01-08,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
202,2022-01-08,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
203,2022-01-08,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
204,2022-01-08,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
206,2022-01-08,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
207,2022-01-08,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
201,2022-01-08,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
240,2022-01-09,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
245,2022-01-09,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
241,2022-01-09,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
242,2022-01-09,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
244,2022-01-09,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
246,2022-01-09,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
243,2022-01-09,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
248,2022-01-09,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
249,2022-01-09,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
250,2022-01-09,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
251,2022-01-09,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
238,2022-01-09,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
247,2022-01-09,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
237,2022-01-09,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
239,2022-01-09,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
235,2022-01-09,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
225,2022-01-09,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
226,2022-01-09,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
227,2022-01-09,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
228,2022-01-09,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
229,2022-01-09,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
230,2022-01-09,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
224,2022-01-09,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
232,2022-01-09,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
233,2022-01-09,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
234,2022-01-09,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
236,2022-01-09,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
231,2022-01-09,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
279,2022-01-10,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
268,2022-01-10,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
269,2022-01-10,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
270,2022-01-10,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
271,2022-01-10,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
272,2022-01-10,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
275,2022-01-10,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
274,2022-01-10,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
276,2022-01-10,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
277,2022-01-10,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
278,2022-01-10,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
267,2022-01-10,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
273,2022-01-10,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
266,2022-01-10,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
265,2022-01-10,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
264,2022-01-10,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
252,2022-01-10,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
253,2022-01-10,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
254,2022-01-10,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
256,2022-01-10,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
257,2022-01-10,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
255,2022-01-10,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
259,2022-01-10,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
260,2022-01-10,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
261,2022-01-10,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
262,2022-01-10,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
263,2022-01-10,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
258,2022-01-10,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
300,2022-01-11,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
296,2022-01-11,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
297,2022-01-11,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
298,2022-01-11,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
299,2022-01-11,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
301,2022-01-11,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
307,2022-01-11,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
303,2022-01-11,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
304,2022-01-11,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
305,2022-01-11,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
306,2022-01-11,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
295,2022-01-11,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
302,2022-01-11,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
294,2022-01-11,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
293,2022-01-11,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
292,2022-01-11,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
280,2022-01-11,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
281,2022-01-11,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
282,2022-01-11,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
284,2022-01-11,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
285,2022-01-11,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
283,2022-01-11,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
287,2022-01-11,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
288,2022-01-11,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
289,2022-01-11,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
290,2022-01-11,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
291,2022-01-11,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
286,2022-01-11,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
328,2022-01-12,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
324,2022-01-12,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
325,2022-01-12,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
326,2022-01-12,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
327,2022-01-12,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
329,2022-01-12,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
335,2022-01-12,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
331,2022-01-12,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
332,2022-01-12,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
333,2022-01-12,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
334,2022-01-12,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
323,2022-01-12,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
330,2022-01-12,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
322,2022-01-12,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
321,2022-01-12,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
320,2022-01-12,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
308,2022-01-12,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
309,2022-01-12,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
310,2022-01-12,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
312,2022-01-12,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
313,2022-01-12,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
311,2022-01-12,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
315,2022-01-12,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
316,2022-01-12,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
317,2022-01-12,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
318,2022-01-12,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
319,2022-01-12,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
314,2022-01-12,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
355,2022-01-13,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
351,2022-01-13,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
352,2022-01-13,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
353,2022-01-13,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
354,2022-01-13,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
356,2022-01-13,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
362,2022-01-13,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
358,2022-01-13,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
363,2022-01-13,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
360,2022-01-13,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
361,2022-01-13,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
350,2022-01-13,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
357,2022-01-13,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
349,2022-01-13,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
359,2022-01-13,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
347,2022-01-13,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
348,2022-01-13,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
336,2022-01-13,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
337,2022-01-13,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
339,2022-01-13,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
340,2022-01-13,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
338,2022-01-13,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
342,2022-01-13,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
343,2022-01-13,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
344,2022-01-13,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
345,2022-01-13,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
346,2022-01-13,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
341,2022-01-13,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
384,2022-01-14,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
